,Date,Time,Calendar Assignment,Share with group,Event Title,Color,start,end,calendarEventID
148,3/27/2021,2:30 pm - 4 pm,ec,ec,EC Meeting,1,2:30 pm,4 pm,n2h7rv6htumaneick31dph0hak
149,3/27/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,pn290q90fa0199sh7lprem40ho
150,3/27/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,1n0jbpac4gccdlbu3pu179rdis
151,3/27/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,60nn1hkg8sdnbq14621e40m8ps
152,3/27/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,nunm1cqm7q9ghl18iasgr0pmq0
153,3/27/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,68eod0dgu8qatlpab6avv2jpic
154,3/27/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,u1qhnnrjl8326qvjghtcdvn3hs
155,3/27/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,s2dafb48bca1gt6v0ncdh8pck4
156,4/3/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,rfl8sjnl6csuh2tvdulqhipgbs
157,4/3/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,s777mnf2lilg0214n3lcukpg00
158,4/3/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,5t8lieekg07q3mu1asmh70blss
159,4/3/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,gfatbmf9t0s231223ue8tjcbl0
160,4/3/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,ij0a5vv3b7g5avhsmiluuidvik
161,4/3/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,ldmcm0gl0drce5ha61u14ilvj4
162,4/3/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,mnmvjrkuumbcveo878grom9h2g
163,4/17/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,58dis98gdj3cr4mpeggajstvpg
164,4/17/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,c8rorhtuank13rtarsc2b8m1j4
165,4/17/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,n4lalg6f6m96rceh20b56phr0k
166,4/17/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,1mr2s2dsb4cgk506g55offtl74
167,4/17/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,ag8vfmd3p5hcpk1k3houetu2ak
168,4/17/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,v928tvautr71phbpt0riku0jcc
169,4/17/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,neknetusssc99m8hbs5s51m8t0
170,4/24/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,hn9eibm1eka5vk2k8nkdh1oqfo
171,4/24/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,6khnhq3554541q173c66b97jg8
172,4/24/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,hfuvnd0dhgvhpprpm7rrnhs72g
173,4/24/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,mdu8ajpjha3rtl62racaj55co0
174,4/24/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,7ga1ft50jh71gu0soblg478bdc
175,4/24/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,6j6o6l2o5tf7bogsooelpkmq70
176,4/24/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,pgh497mpi3hofop0tempesqhgg
177,5/1/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,048r01vdr71503rvrfoo3beamo
178,5/1/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,ifmo708mndbjuogpmnnl374l30
179,5/1/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,9oiu38a4qsrja47p765dcisqss
180,5/1/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,5e6nlpfsu34p0hfqraiuu7lfh0
181,5/1/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,tkbpbkan6l2jj09k70e7p88e94
182,5/1/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,mjfq1h5goam48ba92dkna7384o
183,5/1/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,fehu8d1ht12ibbpb5a3i5p6ivg
184,5/8/2021,2:30 pm - 4 pm,ec,ec,EC Meeting,1,2:30 pm,4 pm,us83ihnivfa8bufr1t3u27rjf0
185,5/8/2021,10 am - 11 am,WCT,"WCT instructors, sophomore class",Writing and Critical Thinking,4,10 am,11 am,78gvv629a4m5lak3j4nes9lmho
186,5/8/2021,11 am - 12 pm,Math Matters,"math matters volunteers, sophomore class",Math Matters,3,11 am,12 pm,buncr8k8iuimn2h608alc9ourk
187,5/8/2021,10 am - 12 pm,Test prep,"test prep instructors, junior class",Test Prep,5,10 am,12 pm,r56r2p1herb1pc2s53kegblds0
188,5/8/2021,10 am - 12 pm,Senior Enrichment,"SE instructors, senior class",Senior Enrichment,6,10 am,12 pm,uvas5q06fp11dh7gegfos0oros
189,5/8/2021,12 pm - 2 pm,Sophomore Mentoring,"sophomore mentors, sophomore class",Sophomore Mentoring,7,12 pm,2 pm,jq3gi55koc30oh9l2mgue0flig
190,5/8/2021,12 pm - 2 pm,Junior Mentoring,"junior mentors, junior class",Junior Mentoring,8,12 pm,2 pm,jtb1si551oeg3qn1v9adl61pdc
191,5/8/2021,12 pm - 2 pm,Senior Mentoring,"senior mentors, senior class",Senior Mentoring,9,12 pm,2 pm,396eddjfds9k3q8s4covlp62is
192,5/15/2021,10 am - 1 pm,"volunteers, ec, board, students","volunteers, ec, board, students",Graduation,2,10 am,1 pm,pq6262n86pqibnv3ja3pviocgo
